dataset,reader,query_id,hop_count,question_type,single_candidate_count,composed_candidate_count,baseline_answer_f1,best_single_delta_answer,best_composed_delta_answer,strict_synergy_answer,composition_only_positive_answer,best_single_id_answer,best_composed_id_answer,best_composed_depth_answer,synergistic_answer_eps_0p0,synergistic_answer_eps_0p01,synergistic_answer_eps_0p02,baseline_sp_f1,best_single_delta_sp,best_composed_delta_sp,strict_synergy_sp,composition_only_positive_sp,best_single_id_sp,best_composed_id_sp,best_composed_depth_sp,synergistic_sp_eps_0p0,synergistic_sp_eps_0p01,synergistic_sp_eps_0p02,baseline_joint_f1,best_single_delta_joint,best_composed_delta_joint,strict_synergy_joint,composition_only_positive_joint,best_single_id_joint,best_composed_id_joint,best_composed_depth_joint,synergistic_joint_eps_0p0,synergistic_joint_eps_0p01,synergistic_joint_eps_0p02
hotpotqa_v15_exploratory,flan,5a8e81715542995085b37436,unknown,unknown,0,11,0.0,0.0,0.0,0.0,0,,beam_repair:fa91478e770b030b,3,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:fa91478e770b030b,3,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:fa91478e770b030b,3,0,0,0
hotpotqa_v15_exploratory,flan,5a90a0555542990a9849366e,unknown,unknown,0,9,1.0,0.0,0.0,0.0,0,,beam_repair:ebb8642be3f52a24,3,0,0,0,0.5,0.0,-0.16666666666666669,-0.16666666666666669,0,,beam_repair:ebb8642be3f52a24,3,0,0,0,0.5,0.0,-0.16666666666666669,-0.16666666666666669,0,,beam_repair:ebb8642be3f52a24,3,0,0,0
hotpotqa_v15_exploratory,flan,5ab1e07a5542993be8fa9869,unknown,unknown,2,13,1.0,0.0,0.0,0.0,0,beam_repair:7bd553e5ec398f15,beam_repair:c0cb5b37c84258df,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:7bd553e5ec398f15,beam_repair:eb6401d54a8a7971,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:7bd553e5ec398f15,beam_repair:c0cb5b37c84258df,2,0,0,0
hotpotqa_v15_exploratory,flan,5ab27147554299340b5254cb,unknown,unknown,2,11,1.0,0.0,0.0,0.0,0,beam_repair:93f347ed8bcc215a,beam_repair:e9aac867136e5118,2,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:93f347ed8bcc215a,beam_repair:e9aac867136e5118,2,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:93f347ed8bcc215a,beam_repair:e9aac867136e5118,2,0,0,0
hotpotqa_v15_exploratory,flan,5ab2974d554299545a2cf9be,unknown,unknown,1,13,1.0,0.0,0.0,0.0,0,beam_repair:ad797579ac1e1066,beam_repair:f6665d921ed897d5,3,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:ad797579ac1e1066,beam_repair:f6665d921ed897d5,3,0,0,0,1.0,0.0,0.0,0.0,0,beam_repair:ad797579ac1e1066,beam_repair:f6665d921ed897d5,3,0,0,0
hotpotqa_v15_exploratory,flan,5ab29c2c554299194fa93452,unknown,unknown,2,10,0.3333333333333333,0.0,0.0,0.0,0,beam_repair:1db26663cf7a8f37,beam_repair:ee26a89467a3deef,3,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:1db26663cf7a8f37,beam_repair:ee26a89467a3deef,3,0,0,0,0.13333333333333333,0.0,0.0,0.0,0,beam_repair:1db26663cf7a8f37,beam_repair:ee26a89467a3deef,3,0,0,0
hotpotqa_v15_exploratory,flan,5ab2a3255542992953946782,unknown,unknown,0,13,0.0,0.0,0.0,0.0,0,,beam_repair:f80214d27cedddd0,2,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:f80214d27cedddd0,2,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:f80214d27cedddd0,2,0,0,0
hotpotqa_v15_exploratory,flan,5ab5ecc3554299637185c623,unknown,unknown,0,15,1.0,0.0,0.0,0.0,0,,beam_repair:e3c34345b30930c0,2,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:e3c34345b30930c0,2,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:e3c34345b30930c0,2,0,0,0
hotpotqa_v15_exploratory,flan,5ab60e06554299110f2199d0,unknown,unknown,0,12,0.8,0.0,0.0,0.0,0,,beam_repair:d9aea78508c9430f,3,0,0,0,0.28571428571428575,0.0,0.04761904761904756,0.04761904761904756,1,,beam_repair:d9aea78508c9430f,3,1,1,1,0.2105263157894737,0.0,0.0394736842105263,0.0394736842105263,1,,beam_repair:d9aea78508c9430f,3,1,1,1
hotpotqa_v15_exploratory,flan,5ab801ce5542990e739ec7c8,unknown,unknown,4,11,1.0,0.0,0.0,0.0,0,beam_repair:e6205d96952e2353,beam_repair:d65e33bd51b4ff4f,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:f2d1caa491f472a4,beam_repair:dcb8faec5cb782fc,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:e6205d96952e2353,beam_repair:d65e33bd51b4ff4f,2,0,0,0
hotpotqa_v15_exploratory,flan,5aba904555429901930fa836,unknown,unknown,0,15,1.0,0.0,0.0,0.0,0,,beam_repair:f64dab37ff2e57b2,3,0,0,0,0.28571428571428575,0.0,-0.28571428571428575,-0.28571428571428575,0,,beam_repair:f64dab37ff2e57b2,3,0,0,0,0.28571428571428575,0.0,-0.28571428571428575,-0.28571428571428575,0,,beam_repair:f64dab37ff2e57b2,3,0,0,0
hotpotqa_v15_exploratory,flan,5abaef785542992ccd8e7e64,unknown,unknown,0,15,0.8,0.0,0.0,0.0,0,,beam_repair:fd100033c8477abd,2,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:fd100033c8477abd,2,0,0,0,0.8,0.0,0.0,0.0,0,,beam_repair:fd100033c8477abd,2,0,0,0
hotpotqa_v15_exploratory,flan,5abc4b795542996583600437,unknown,unknown,0,13,1.0,0.0,-1.0,-1.0,0,,beam_repair:e69c1c1519ca9ccd,3,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:e69c1c1519ca9ccd,3,0,0,0,0.5,0.0,-0.5,-0.5,0,,beam_repair:e69c1c1519ca9ccd,3,0,0,0
hotpotqa_v15_exploratory,flan,5abe2d5a5542991f661060f5,unknown,unknown,2,13,1.0,0.0,0.0,0.0,0,beam_repair:6ed8dacd423b9c53,beam_repair:fe01f3e7e96be746,3,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:6ed8dacd423b9c53,beam_repair:fe01f3e7e96be746,3,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:6ed8dacd423b9c53,beam_repair:fe01f3e7e96be746,3,0,0,0
hotpotqa_v15_exploratory,flan,5abf99765542994516f454cf,unknown,unknown,2,13,0.0,1.0,1.0,0.0,0,beam_repair:0e519cd045b723fe,beam_repair:e37e677e7f3d8fd6,2,0,0,0,0.28571428571428575,0.04761904761904756,0.04761904761904756,0.0,0,beam_repair:0e519cd045b723fe,beam_repair:e37e677e7f3d8fd6,2,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,beam_repair:0e519cd045b723fe,beam_repair:e37e677e7f3d8fd6,2,0,0,0
hotpotqa_v15_exploratory,flan,5abfa73f5542997ec76fd41d,unknown,unknown,8,7,0.3333333333333333,0.0,0.0,0.0,0,beam_repair:fe969977ff0c4620,beam_repair:f036b8710cd08e2d,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:fe969977ff0c4620,beam_repair:f036b8710cd08e2d,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:fe969977ff0c4620,beam_repair:f036b8710cd08e2d,2,0,0,0
hotpotqa_v15_exploratory,flan,5ac144d05542994ab5c67cd2,unknown,unknown,8,7,1.0,0.0,0.0,0.0,0,beam_repair:e02a33edabb5381b,beam_repair:feccfaeefa349a16,3,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e02a33edabb5381b,beam_repair:feccfaeefa349a16,3,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e02a33edabb5381b,beam_repair:feccfaeefa349a16,3,0,0,0
hotpotqa_v15_exploratory,flan,5ac15d0d5542994ab5c67cfc,unknown,unknown,1,13,1.0,0.0,0.0,0.0,0,beam_repair:291922165f9fc669,beam_repair:fb872bf9d8a768af,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:291922165f9fc669,beam_repair:fb872bf9d8a768af,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:291922165f9fc669,beam_repair:fb872bf9d8a768af,2,0,0,0
hotpotqa_v15_exploratory,flan,5ac3cfba554299204fd21e7a,unknown,unknown,6,9,1.0,0.0,0.0,0.0,0,beam_repair:ed3f7a9b33bab648,beam_repair:fef2f94dc9e64106,2,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:ed3f7a9b33bab648,beam_repair:fef2f94dc9e64106,2,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:ed3f7a9b33bab648,beam_repair:fef2f94dc9e64106,2,0,0,0
hotpotqa_v15_exploratory,flan,5ac3e84c554299204fd21ec2,unknown,unknown,2,13,1.0,0.0,0.0,0.0,0,beam_repair:a1b23b51ee956987,beam_repair:f2e612d024e825cc,3,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,beam_repair:a1b23b51ee956987,beam_repair:f2e612d024e825cc,3,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,beam_repair:a1b23b51ee956987,beam_repair:f2e612d024e825cc,3,0,0,0
hotpotqa_v15_exploratory,flan,5adc071a5542996e685252ae,unknown,unknown,0,15,1.0,0.0,0.0,0.0,0,,beam_repair:fced94fd1345e750,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:fced94fd1345e750,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:fced94fd1345e750,2,0,0,0
hotpotqa_v15_exploratory,flan,5adc3e80554299438c868d8e,unknown,unknown,1,14,0.0,0.0,0.0,0.0,0,beam_repair:64cdf1ed13d29afb,beam_repair:fe3bca7fa6ae1c47,2,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:64cdf1ed13d29afb,beam_repair:fe3bca7fa6ae1c47,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:64cdf1ed13d29afb,beam_repair:fe3bca7fa6ae1c47,2,0,0,0
hotpotqa_v15_exploratory,flan,5add08db5542994d58a2f74b,unknown,unknown,0,12,1.0,0.0,0.0,0.0,0,,beam_repair:ee2ac240eec8c1b9,3,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:ee2ac240eec8c1b9,3,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:ee2ac240eec8c1b9,3,0,0,0
hotpotqa_v15_exploratory,flan,5ade0fd35542995b365fabfc,unknown,unknown,3,12,1.0,0.0,0.0,0.0,0,beam_repair:f2e0dd1a038798f9,beam_repair:fdbcbab6be53f693,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:f2e0dd1a038798f9,beam_repair:fdbcbab6be53f693,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:f2e0dd1a038798f9,beam_repair:fdbcbab6be53f693,2,0,0,0
hotpotqa_v15_exploratory,flan,5adf5a5b5542993344016c5c,unknown,unknown,10,5,1.0,0.0,0.0,0.0,0,beam_repair:e6e36a4a77ee1044,beam_repair:e26ce9530b363ab8,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e6e36a4a77ee1044,beam_repair:e26ce9530b363ab8,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:e6e36a4a77ee1044,beam_repair:e26ce9530b363ab8,2,0,0,0
hotpotqa_v15_exploratory,flan,5adf94475542995534e8c7f6,unknown,unknown,0,12,0.0,0.0,0.6666666666666666,0.6666666666666666,1,,beam_repair:ee891d82a913f585,3,1,1,1,0.0,0.0,0.0,0.0,0,,beam_repair:ee891d82a913f585,3,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:ee891d82a913f585,3,0,0,0
hotpotqa_v15_exploratory,flan,5ae1b578554299492dc91b78,unknown,unknown,0,12,1.0,0.0,0.0,0.0,0,,beam_repair:f09705b75330f9aa,3,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:f09705b75330f9aa,3,0,0,0,0.5,0.0,0.0,0.0,0,,beam_repair:f09705b75330f9aa,3,0,0,0
hotpotqa_v15_exploratory,flan,5ae2113e554299495565d9d3,unknown,unknown,0,11,1.0,0.0,0.0,0.0,0,,beam_repair:f56672a5d9c3b274,3,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:f56672a5d9c3b274,3,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:f56672a5d9c3b274,3,0,0,0
hotpotqa_v15_exploratory,flan,5ae31ba855429928c42395fb,unknown,unknown,0,12,1.0,0.0,0.0,0.0,0,,beam_repair:f9b3825106a7c48b,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:f9b3825106a7c48b,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:f9b3825106a7c48b,2,0,0,0
hotpotqa_v15_exploratory,flan,5ae394f35542994393b9e717,unknown,unknown,5,10,1.0,0.0,0.0,0.0,0,beam_repair:d63a2baed8096fdf,beam_repair:eee05f4bdad0516b,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,beam_repair:d63a2baed8096fdf,beam_repair:eee05f4bdad0516b,2,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,beam_repair:d63a2baed8096fdf,beam_repair:eee05f4bdad0516b,2,0,0,0
hotpotqa_v15_exploratory,flan,5ae468645542996836b02c99,unknown,unknown,0,13,1.0,0.0,0.0,0.0,0,,beam_repair:e9da5942531f87cd,3,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:e9da5942531f87cd,3,0,0,0,0.28571428571428575,0.0,0.0,0.0,0,,beam_repair:e9da5942531f87cd,3,0,0,0
hotpotqa_v15_exploratory,flan,5ae4f36e55429960a22e0220,unknown,unknown,0,15,1.0,0.0,0.0,0.0,0,,beam_repair:f9d8350ce240813e,2,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:f9d8350ce240813e,2,0,0,0,1.0,0.0,0.0,0.0,0,,beam_repair:f9d8350ce240813e,2,0,0,0
hotpotqa_v15_exploratory,flan,5ae511b155429908b632650b,unknown,unknown,0,15,0.8,0.0,0.0,0.0,0,,beam_repair:e9f68da74f1ada5b,2,0,0,0,0.4,0.0,0.0,0.0,0,,beam_repair:6deae2fa220fccd9,3,0,0,0,0.30769230769230765,0.0,0.0,0.0,0,,beam_repair:6deae2fa220fccd9,3,0,0,0
hotpotqa_v15_exploratory,flan,5ae734565542991e8301cbd5,unknown,unknown,9,6,1.0,0.0,0.0,0.0,0,beam_repair:fee5817cd20b2b13,beam_repair:f7465e15eddec29a,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:fee5817cd20b2b13,beam_repair:f7465e15eddec29a,2,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:fee5817cd20b2b13,beam_repair:f7465e15eddec29a,2,0,0,0
hotpotqa_v15_exploratory,flan,5a7171c25542994082a3e835,unknown,unknown,3,12,0.6666666666666666,0.0,0.0,0.0,0,beam_repair:aa4a2af18aa9340d,beam_repair:e3168b2546e79404,2,0,0,0,0.5714285714285715,0.0,0.0,0.0,0,beam_repair:aa4a2af18aa9340d,beam_repair:e3168b2546e79404,2,0,0,0,0.4444444444444445,0.0,0.0,0.0,0,beam_repair:aa4a2af18aa9340d,beam_repair:e3168b2546e79404,2,0,0,0
hotpotqa_v15_exploratory,flan,5a7460ee55429979e288292f,unknown,unknown,0,15,0.5714285714285715,0.0,0.0,0.0,0,,beam_repair:f5db64cbfeb0514e,2,0,0,0,0.5,0.0,0.5,0.5,1,,beam_repair:de40e5f143e18503,2,1,1,1,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,1,,beam_repair:de40e5f143e18503,2,1,1,1
hotpotqa_v15_exploratory,flan,5a7791715542995d831811dc,unknown,unknown,0,13,1.0,0.0,0.0,0.0,0,,beam_repair:ff42ba1d96c33d6d,3,0,0,0,0.4,0.0,0.0,0.0,0,,beam_repair:ce0726f381648a0a,3,0,0,0,0.4,0.0,0.0,0.0,0,,beam_repair:ce0726f381648a0a,3,0,0,0
hotpotqa_v15_exploratory,flan,5a77b07755429967ab105232,unknown,unknown,0,15,0.0,0.0,0.0,0.0,0,,beam_repair:e79b4bde6b65527a,2,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:e79b4bde6b65527a,2,0,0,0,0.0,0.0,0.0,0.0,0,,beam_repair:e79b4bde6b65527a,2,0,0,0
hotpotqa_v15_exploratory,flan,5a77be5e5542995d83181296,unknown,unknown,4,11,1.0,0.0,0.0,0.0,0,beam_repair:6cffe5b6d3ae344b,beam_repair:ecb85953be3e49de,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:6cffe5b6d3ae344b,beam_repair:ecb85953be3e49de,3,0,0,0,0.5,0.0,0.0,0.0,0,beam_repair:6cffe5b6d3ae344b,beam_repair:ecb85953be3e49de,3,0,0,0
hotpotqa_v15_exploratory,flan,5a77d9ba5542992a6e59dfe4,unknown,unknown,0,11,1.0,0.0,0.0,0.0,0,,beam_repair:f022279792342013,3,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:e9b3ea3f6a653192,3,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,,beam_repair:e9b3ea3f6a653192,3,0,0,0
hotpotqa_v15_exploratory,flan,5a797bc1554299029c4b5f56,unknown,unknown,2,13,0.0,0.0,0.0,0.0,0,beam_repair:beca3fcf0e18c936,beam_repair:f863d618d82bcf9d,2,0,0,0,0.4,-0.06666666666666671,-0.06666666666666671,0.0,0,beam_repair:beca3fcf0e18c936,beam_repair:f863d618d82bcf9d,2,0,0,0,0.0,0.0,0.0,0.0,0,beam_repair:beca3fcf0e18c936,beam_repair:f863d618d82bcf9d,2,0,0,0
hotpotqa_v15_exploratory,flan,5a79fa525542990198eaf029,unknown,unknown,6,9,0.21052631578947367,0.0,0.0,0.0,0,beam_repair:f4cb00fa0c798f79,beam_repair:ff4b49b5278116f2,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,beam_repair:4e7c94f166f1cdf6,beam_repair:d8d462a2e1a06ebd,2,0,0,0,0.14035087719298245,0.0,0.0,0.0,0,beam_repair:4e7c94f166f1cdf6,beam_repair:d8d462a2e1a06ebd,2,0,0,0
hotpotqa_v15_exploratory,flan,5a7a4f9a5542990783324f0b,unknown,unknown,6,9,1.0,0.0,0.0,0.0,0,beam_repair:e71de4c4026f0de3,beam_repair:f185399de44b9446,2,0,0,0,0.4,0.0,-0.06666666666666671,-0.06666666666666671,0,beam_repair:74a94b5eb530f400,beam_repair:f185399de44b9446,2,0,0,0,0.4,0.0,-0.06666666666666671,-0.06666666666666671,0,beam_repair:74a94b5eb530f400,beam_repair:f185399de44b9446,2,0,0,0
hotpotqa_v15_exploratory,flan,5a7a93ba55429941d65f26c4,unknown,unknown,7,8,1.0,0.0,0.0,0.0,0,beam_repair:d260694bcb7897d7,beam_repair:f636e59bd14b2534,2,0,0,0,0.5,0.07142857142857151,0.07142857142857151,0.0,0,beam_repair:daaec2b0dbebbe41,beam_repair:f636e59bd14b2534,2,0,0,0,0.5,0.0,0.07142857142857151,0.07142857142857151,1,beam_repair:d260694bcb7897d7,beam_repair:f636e59bd14b2534,2,1,1,1
hotpotqa_v15_exploratory,flan,5a7aa67355429931da12c94e,unknown,unknown,3,12,1.0,0.0,0.0,0.0,0,beam_repair:7bf407088e93b071,beam_repair:d1884843023f2f63,3,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:e6568471ade41fbd,beam_repair:d1884843023f2f63,3,0,0,0,0.4,0.0,0.0,0.0,0,beam_repair:7bf407088e93b071,beam_repair:d1884843023f2f63,3,0,0,0
